cs,cost_car,traveltime_car,cost_pt,traveltime_pt,traveltime_bicycle,traveltime_walk,block
1,2,10,15,15,35,25,3
2,6,10,5,20,35,25,2
3,2,15,15,20,15,65,3
4,6,10,5,10,25,40,3
5,6,10,5,10,15,65,2
6,4,5,10,15,35,25,1
7,6,15,5,20,15,65,1
8,4,5,10,20,15,65,2
9,2,5,15,15,25,40,1
10,2,15,15,10,25,40,1
11,4,5,10,15,25,40,3
12,4,15,10,10,35,25,2
